item_code,item,unit,item_group,item_category,2022-02-09
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.3406779661016948
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.798630136986302
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.625
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.4200000000000004
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.147169811320755
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.952857142857143
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.238775510204081
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.2
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.38
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.779999999999999
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.161290322580645
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,7.9
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.1875
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,9.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.75
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.5131578947368425
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.022471910112359
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.388888888888889
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,8.628571428571428
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0
