item_code,item,unit,item_group,item_category,2022-02-09
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.4373737373737374
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,5.806
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,1.941935483870968
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.3585365853658535
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.014285714285714
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.022857142857143
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,6.421428571428571
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,6.583333333333333
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,5.764705882352941
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.458666666666667
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,6.6380952380952385
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.353225806451612
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.3640625
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.461904761904762
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,6.8742857142857146
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,7.809375
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.2625
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.727027027027027
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.86
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.305882352941176
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.775
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.068965517241379
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.472
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.5779220779220777
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.8197183098591547
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.7646153846153845
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.083333333333333
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,4.878787878787879
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,4.714285714285714
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,4.785714285714286
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.023809523809524
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.142857142857143
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.666666666666667
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.933333333333334
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.7
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.833333333333333
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.6875
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.4
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.555555555555555
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,2.9508196721311477
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.970000000000001
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,3.302564102564103
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.069767441860465
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.4236842105263159
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.129411764705883
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.074
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.0394736842105263
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.7574074074074075
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.178
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.297674418604651
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,11.1
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.517391304347826
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.9270270270270276
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.110256410256411
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.391176470588236
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.126923076923077
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,6.972
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,4.934146341463415
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.0685714285714285
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0875
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4764705882352941
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4666666666666667
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.52
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.05
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.8
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,5.0
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,6.0
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,5.25
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.05
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,9.0
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,13.166666666666666
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,3.8220338983050848
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,9.264705882352942
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.266666666666667
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.81
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.6300000000000001
1294,RAWA TOSAI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0
1296,CAPATI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.5
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,1.8454545454545455
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,5.333333333333333
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,5.333333333333333
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.23461538461538461
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5670212765957447
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4554347826086957
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5484536082474225
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8524590163934427
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9206521739130438
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.268965517241379
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1927536231884055
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.952173913043478
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5819672131147542
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7869565217391306
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.30416666666666664
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.430508474576271
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,4.107142857142857
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.635294117647059
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.5
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,2.891111111111111
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.325
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.1849462365591399
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.124731182795699
1469,NESCAFE ''O'' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6580645161290322
1728,NASI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,NASI,4.72463768115942
1729,NASI GORENG SEAFOOD,sepinggan,MAKANAN SIAP MASAK,NASI,7.319999999999999
1730,MI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.6850000000000005
1731,MI GORENG MAMAK,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.470588235294118
1732,MI HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.814634146341463
1733,MI SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.354838709677419
1734,MI TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.205555555555556
1735,MI BANDUNG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.829545454545454
1736,MI LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.155172413793103
1737,MI KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.6037037037037045
1738,BIHUN SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.360655737704918
1739,KUETIAU GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.786956521739131
1740,KUETIAU HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.839024390243902
1741,KUETIAU SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.425
1742,KUETIAU TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.258333333333334
1743,KUETIAU BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.825581395348837
1744,KUETIAU LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.28125
1745,KUETIAU KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.546428571428572
1746,CHAR KUETIAU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.611111111111111
1747,MI HOKKIEN,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0
1748,KON LOH MI (KICAP),sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.0
1749,WAN TAN MI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.0
1750,MI UDANG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.966666666666666
1751,MI KARI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.423076923076923
1753,PAK CHOY SOS TIRAM,sepiring,MAKANAN SIAP MASAK,LAUK,2.875
1754,SAYUR TAUGEH,sepiring,MAKANAN SIAP MASAK,LAUK,2.0405405405405403
1757,IKAN SIAKAP GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,20.0
1758,IKAN SIAKAP MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,25.833333333333332
1759,IKAN SIAKAP TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,28.0
1760,IKAN SIAKAP KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,28.0
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.666666666666667
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,6.0
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.0
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,10.0
1770,IKAN BAWAL PUTIH MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,8.0
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.125
1773,IKAN KEMBUNG MASAK KICAP (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.2
1774,IKAN KEMBUNG TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,6.3125
1775,IKAN TENGGIRI GORENG,sekeping,MAKANAN SIAP MASAK,LAUK,5.714285714285714
1776,IKAN TENGGIRI MASAK KARI,sekeping,MAKANAN SIAP MASAK,LAUK,6.5
1777,IKAN TILAPIA GORENG BIASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.555555555555555
1778,IKAN TILAPIA MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.0
1779,IKAN TILAPIA KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.0
1780,SUP PERUT,semangkuk,MAKANAN SIAP MASAK,LAUK,6.8125
1783,ROTI CANAI BIASA,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.0416666666666667
1784,KUIH KARIPAP (KENTANG),sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.475
1787,ROJAK BIASA,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,4.777777777777778
1788,ROJAK MI,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.083333333333333
1789,TEH TARIK PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5942528735632182
1790,"KOPI ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.6235294117647059
1791,KOPI AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.017821782178218
1792,TEH AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.006930693069307
1793,NESCAFE AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.3989690721649484
1794,LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.7426966292134831
1795,JUS OREN,segelas,MAKANAN SIAP MASAK,MINUMAN,3.426785714285714
1796,CARROT SUSU,segelas,MAKANAN SIAP MASAK,MINUMAN,3.630188679245283
1814,LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.3766666666666667
1857,NASI KERABU (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,3.5833333333333335
1858,NASI DAGANG (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,5.625
1859,"TEH ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.5754901960784313
1860,"TEH ""O"" LIMAU AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.8936170212765957
1861,TEH HALIA AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.2160714285714285
1862,"NESCAFE ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.126
