item_code,item,unit,item_group,item_category,2022-02-09
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.781868131868132
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.086363636363637
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.111111111111111
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.9253333333333336
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,7.200684931506849
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.77891156462585
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,7.85827067669173
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.826190476190476
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,8.11111111111111
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.773793103448276
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,8.106122448979592
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.286407766990291
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.9409090909090905
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.41231884057971
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,8.45
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.81590909090909
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.778980891719745
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.858333333333333
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.2
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.314285714285714
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.91875
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.422580645161291
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.5576923076923075
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,4.1164772727272725
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,4.421929824561404
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,4.464835164835165
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,4.915
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.068888888888889
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.379710144927536
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.445454545454546
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,6.648387096774194
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.820689655172414
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.788461538461538
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.438888888888889
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,7.586666666666667
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.9
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,7.527586206896552
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.96
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,8.253333333333334
