item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.7553571428571426,2.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.090909090909091,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.2075,1.5
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,2.9133333333333336,3.9
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,7.209352517985612,7.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.811188811188811,7.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,7.705078125,9.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.668292682926829,9.0
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,7.839130434782609,9.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,5.731578947368421,6.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,8.143478260869566,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,5.370430107526881,6.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.882000000000001,6.5
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,5.488888888888889,6.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,8.527027027027026,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.873809523809523,
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.799319727891157,8.45
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.840849673202614,4.95
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.22,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.482352941176471,
