item_code,item,unit,item_group,item_category,2024-05-08,2024-05-15,2024-05-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.58,8.881818181818183,8.8375
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.6,6.6,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,27.666666666666668,27.666666666666668,27.666666666666668
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,45.0,45.0,45.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.5,19.95,20.266666666666666
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.5,9.142857142857142,10.571428571428571
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.0,9.9375,9.516666666666667
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.025,1.975,2.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.333333333333333,7.225,7.225
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,8.333333333333334,7.75,8.333333333333334
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.75,3.0714285714285716,4.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.8333333333333335,4.26,3.9333333333333336
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.98,2.881818181818182,3.22
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.325,4.35,4.35
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.166666666666667,4.2,4.15
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.9,3.8,3.8
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,8.7,8.4,8.6
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,10.583333333333334,11.625,11.375
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,7.3,7.7,7.8
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.6,10.61111111111111,10.25
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,2.857142857142857,2.875,2.875
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,36.0,36.0,36.0
1374,DAGING KERBAU TEMPATAN,1kg,BARANGAN SEGAR,DAGING,35.0,35.0,35.0
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,19.733333333333334,20.0,20.0
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,19.733333333333334,19.733333333333334,19.733333333333334
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,19.65,19.06,19.125
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,18.7,18.7,18.7
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,35.0,,
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,22.0,,
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING,24.0,,
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING,24.0,,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.5,3.5,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.5,9.5,9.5
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.166666666666667,4.0600000000000005,4.46
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,9.0,9.0,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.433333333333334,8.4,8.4
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,3.725,3.9916666666666667,3.775
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,36.5,37.0,37.0
