item_code,item,unit,item_group,item_category,2022-02-09
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5756410256410258
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.295762711864406
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.375
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.213636363636364
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,7.094791666666667
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.047
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,7.1692307692307695
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.307142857142857
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,6.75
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.215441176470588
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.232291666666666
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.029310344827586
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.948387096774193
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.198958333333334
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.604545454545455
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.442391304347826
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.169090909090909
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.574242424242424
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.586486486486487
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.782432432432432
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.858108108108108
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.291428571428571
