item_code,item,unit,item_group,item_category,2022-01-05,2022-01-06
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,1.5616438356164384,1.8
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.292105263157896,
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,2.3333333333333335,
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,3.2560000000000002,
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,6.927777777777778,10.5
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,6.974489795918367,9.8
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,7.188461538461539,
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,7.138461538461538,
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,6.388888888888889,
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,6.186231884057971,
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,7.229807692307692,
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,6.021186440677966,
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,6.92578125,
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,6.162244897959184,
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,7.593333333333333,
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,8.4,10.5
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,7.111111111111111,
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.550769230769231,
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.586842105263158,
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.990697674418605,
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.772058823529412,
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.772368421052632,
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.305882352941176,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,4.027083333333334,5.3
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,4.372727272727273,5.3
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,4.212820512820513,5.3
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.6166666666666667,
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.8304347826086955,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.771428571428571,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,5.745454545454546,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,5.727777777777778,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.029999999999999,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.128571428571428,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.475,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.666666666666667,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,6.428571428571429,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.3999999999999995,
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,6.58,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.75,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,3.254545454545455,2.5
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.74,2.5
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,3.7035714285714283,2.5
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.2671875000000001,1.7
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.671186440677966,
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,5.503846153846154,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.1166666666666667,
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.2347826086956522,
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,2.123333333333333,
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.197297297297298,
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.9783333333333335,
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,9.6375,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.9,
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,7.161764705882353,
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,6.337179487179488,
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.636764705882353,
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.222222222222222,
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,7.2444444444444445,
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.61219512195122,
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.9640625,
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.2333333333333334,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.5,
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.8,
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,,5.3
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.3,
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,9.842857142857143,
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,14.666666666666666,
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,4.2542857142857144,5.3
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,9.133333333333333,
1290,SUP KAMBING,semangkuk,MAKANAN SIAP MASAK,LAUK,12.9,
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.0,
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.788888888888889,
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.075,
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.75,
1296,CAPATI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.825,
1297,Ayam Tandoori,seketul,MAKANAN SIAP MASAK,LAUK,8.0,
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,2.175,
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,7.0,
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,6.5,
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.34305555555555556,
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9393333333333331,
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.850862068965517,2.8
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8654929577464787,
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1633333333333336,2.8
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.351449275362319,3.5
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.610714285714286,
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.526470588235294,
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.3533783783783786,
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9719512195121949,
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1207142857142856,
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.39629629629629626,
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,4.154629629629629,
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.6533333333333333,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,4.229347826086957,6.0
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,4.308333333333334,
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.2728571428571427,
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.328571428571428,
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5746575342465754,
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5292207792207793,2.5
1469,NESCAFE ''O'' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.05703125,
1728,NASI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,NASI,5.6000000000000005,
1729,NASI GORENG SEAFOOD,sepinggan,MAKANAN SIAP MASAK,NASI,7.63173076923077,
1730,MI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.620967741935484,
1731,MI GORENG MAMAK,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.7925,
1732,MI HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.906666666666667,
1733,MI SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.266666666666667,
1734,MI TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.990909090909091,
1735,MI BANDUNG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.784883720930233,
1736,MI LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.778205128205129,
1737,MI KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.313235294117647,
1738,BIHUN SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.2239130434782615,
1739,KUETIAU GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.5765625,
1740,KUETIAU HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.535135135135135,
1741,KUETIAU SUP (AYAM/DAGING),semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.205555555555556,
1742,KUETIAU TOM YAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.002272727272728,
1743,KUETIAU BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.715277777777778,
1744,KUETIAU LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.843023255813954,
1745,KUETIAU KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.212162162162163,
1746,CHAR KUETIAU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.116666666666666,
1747,MI HOKKIEN,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.1375,8.9
1748,KON LOH MI (KICAP),sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.5,
1749,WAN TAN MI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.125,
1750,MI UDANG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.816666666666666,
1751,MI KARI,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,5.6850000000000005,
